坂本,サカモト
谷口,タニグチ
ちょっと,
思いますね,思います。
ですけれどもね,です。
(うん|はい|あー|えーと|まあ|いわゆる)+,
えー|あの|この,
あとは(あれか|そう),
なんか,
結構,
なんで,なので
というところです?,と
でして,で
ですね,。
こんな感じで,
[。、]*(。)+[。、]*,。
。で[。、],。
、で[。、],、
普通に,
ご視聴ありがとうございました,
おやすみなさい,
プラスアルファ,+α
ブレンダー,Blender
サイクル[図ズ],Cycles
ジオメトリーノーズ, Geometry Nodes
ウィスパー,Whisper
みたいなやつ,のようなもの
ではありますけれども,ですが
EV,EeVee
スクラプティング,スカルプティング
チャットGPD|チャットGPT|チャットGBT,ChatGPT
ランググラフ,LangGraph
ラングチェーン,LangChain
一興,一強
イラストレーター,Illustrator
パーポ,PowerPoint
アドビ,Adobe
ジュピター,Jupyter
Cプラ,C++
空打,CUDA
ランウェイ|ラムウェイ,Runway
コミファイUI,ComfyUI
アンソロピック,Anthoropic
クロード,Claude
ソネット,Sonnet
エージェント,Agent
オープンAI,OpenAI
ラズパイ,Raspberry Pi
コパイロット,Copilot
ピックスバース,PixVerse
ビッグスパース,PixVerse
クリングAI,KLING AI
クリングエーアイ,KLING AI
クリング,KLING AI
